,,,,,,,,,,,,,,,,,,
,,SRS,,,Adjusted,,,,,,,,,,,,,
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Alabama,SEC,,4,29,5,82.2,68.5,13.68,,10.14,,17.32,6.5,23.82,113.94,80.95,32.99
2,Houston,AAC,,1,31,3,75,56.5,18.53,,4.77,,5.5,17.8,23.3,115.5,80.63,34.87
3,UCLA,Pac-12,,2,29,5,73.9,60.3,13.62,,8.96,,7.43,15.16,22.58,112.5,80.51,31.99
4,Tennessee,SEC,,17,23,10,71.8,58,13.76,,8.14,,5.23,16.67,21.9,110.86,78.91,31.95
5,Texas,Big 12,,7,26,8,77.9,67.4,10.44,,10.86,,11.9,9.4,21.3,113.95,83.95,30
6,Connecticut,Big East,,11,24,8,78.7,65.2,13.47,,7.45,,10.6,10.28,20.88,112.03,83.35,28.68
7,Gonzaga,WCC,,9,28,5,87.5,72.9,14.61,,7.52,,17.89,2.25,20.14,121.2,93.31,27.89
8,Arizona,Pac-12,,8,28,6,82.7,71.5,11.18,,8.8,,17.88,2.1,19.98,117.08,90.23,26.85
9,Kansas,Big 12,,3,27,7,74.9,67.9,7,,12.8,,10.82,8.98,19.8,112.34,84.78,27.55
10,Purdue,Big Ten,,5,29,5,73.1,62.7,10.35,,9.05,,7.21,12.2,19.41,116.5,87.76,28.74
11,Saint Mary's (CA),WCC,,16,26,7,71.4,60.1,11.24,,7.11,,1.68,16.4,18.08,111.01,84.11,26.9
12,Baylor,Big 12,,10,22,10,77.2,70.3,6.91,,11.16,,12.44,5.62,18.06,117.51,92.6,24.91
13,Creighton,Big East,,24,21,12,76.6,68.5,8.15,,9.53,,9.49,8.19,17.68,112.77,87.56,25.21
14,Marquette,Big East,,6,28,6,79.9,70.6,9.35,,7.92,,12.87,4.4,17.27,115.15,90.9,24.25
15,Arkansas,SEC,,,20,13,74.4,67.4,7.03,,9.59,,8.91,7.72,16.62,109.17,85.93,23.23
16,Iowa State,Big 12,,,19,13,68.4,62.8,5.69,,10.83,,1.63,14.88,16.52,106.35,83.11,23.25
17,West Virginia,Big 12,,,19,14,76.3,71,5.27,,11.25,,11.22,5.3,16.52,114.51,91.54,22.97
18,Xavier,Big East,,15,25,9,81.4,74.1,7.35,,9.06,,14.23,2.18,16.41,114.71,92.27,22.44
19,Kansas State,Big 12,,12,23,9,75.5,69,6.47,,9.83,,10.48,5.82,16.3,109.17,86.54,22.63
20,TCU,Big 12,,22,21,12,75.2,67.9,7.27,,8.97,,8.99,7.25,16.24,109.17,87.11,22.07
,,,,,,,,,,,,,SRS,,,Adjusted,,
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
21,San Diego State,MWC,,20,27,6,72.1,63.6,8.45,,8.43,,4.62,11.34,15.96,109.16,85.91,23.24
22,Indiana,Big Ten,,19,22,11,75,68.5,6.58,,9.06,,8.98,6.66,15.64,112.35,90.17,22.18
23,Duke,ACC,,21,26,8,72.5,63.9,8.59,,7.01,,4.84,10.77,15.6,110.56,87.58,22.97
24,Illinois,Big Ten,,,20,12,74.7,67,7.69,,7.67,,9,6.36,15.36,109.1,88.02,21.08
25,Utah State,MWC,,,26,8,78.6,69.7,8.85,,7.27,,11.08,4.16,15.24,113.59,92.39,21.2
26,Kentucky,SEC,,23,21,11,75.1,68,7.03,,8.19,,8.48,6.74,15.22,114.53,92.47,22.07
27,Maryland,Big Ten,,,21,12,70.4,63.2,7.21,,7.89,,4.36,10.75,15.1,112.04,89.4,22.64
28,Rutgers,Big Ten,,,19,14,67.9,60.3,7.55,,7.53,,0.81,14.26,15.08,103.56,82.12,21.43
